# seg	start	stop	duration
0	1368934436	1368938717	4281.0
1	1368954141	1368961543	7402.0
2	1368979913	1368982483	2570.0
3	1368983715	1368992311	8596.0
4	1368993005	1368997896	4891.0
5	1369184832	1369184915	83.0
6	1369185055	1369200465	15410.0
7	1369205881	1369230918	25037.0
8	1369241742	1369246564	4822.0
9	1369254052	1369255796	1744.0
10	1369255991	1369263774	7783.0
11	1369276031	1369292466	16435.0
12	1369299302	1369333565	34263.0
13	1369375930	1369381513	5583.0
14	1369386030	1369409817	23787.0
15	1369411298	1369413649	2351.0
16	1369432797	1369443373	10576.0
17	1369451672	1369470643	18971.0
18	1369480556	1369485043	4487.0
19	1369521579	1369530570	8991.0
20	1369545660	1369555842	10182.0
21	1369562361	1369567054	4693.0
22	1369584420	1369591412	6992.0
23	1369598234	1369601745	3511.0
24	1369610209	1369617585	7376.0
25	1369626067	1369632035	5968.0
26	1369638079	1369644126	6047.0
27	1369649613	1369658687	9074.0
28	1369681145	1369703504	22359.0
29	1369703930	1369717050	13120.0
30	1369717388	1369724290	6902.0
31	1369729650	1369731495	1845.0
32	1369765810	1369772023	6213.0
33	1369780122	1369801450	21328.0
34	1369805217	1369815975	10758.0
35	1369839764	1369868964	29200.0
36	1369885028	1369922212	37184.0
37	1369939918	1369945707	5789.0
38	1369945733	1369946324	591.0
39	1369952773	1369955806	3033.0
40	1369959099	1369964701	5602.0
41	1369980477	1369998986	18509.0
42	1370008298	1370016465	8167.0
43	1370019388	1370024237	4849.0
44	1370036058	1370036139	81.0
45	1370036174	1370037093	919.0
46	1370040112	1370049701	9589.0
47	1370050230	1370054095	3865.0
48	1370054163	1370078760	24597.0
49	1370086491	1370090937	4446.0
50	1370129380	1370133094	3714.0
51	1370136007	1370164042	28035.0
52	1370169543	1370178000	8457.0
53	1370185937	1370190930	4993.0
54	1370195391	1370207056	11665.0
55	1370214228	1370227554	13326.0
56	1370232443	1370242450	10007.0
57	1370247770	1370253887	6117.0
58	1370261630	1370262003	373.0
59	1370262004	1370263087	1083.0
60	1370263088	1370263150	62.0
61	1370263151	1370264334	1183.0
62	1370264335	1370264490	155.0
63	1370264491	1370267918	3427.0
64	1370282070	1370292548	10478.0
65	1370292652	1370293137	485.0
66	1370301775	1370307928	6153.0
67	1370307959	1370325018	17059.0
68	1370325212	1370330230	5018.0
69	1370336418	1370345856	9438.0
70	1370348285	1370350317	2032.0
71	1370350593	1370357618	7025.0
72	1370360313	1370376655	16342.0
73	1370383648	1370400556	16908.0
74	1370402911	1370415251	12340.0
75	1370421494	1370427083	5589.0
76	1370431479	1370461862	30383.0
77	1370466508	1370475332	8824.0
78	1370479747	1370480701	954.0
79	1370483488	1370490237	6749.0
80	1370495813	1370513141	17328.0
81	1370519397	1370528097	8700.0
82	1370533861	1370540913	7052.0
83	1370544335	1370555146	10811.0
84	1370559286	1370570538	11252.0
85	1370590090	1370607189	17099.0
86	1370613343	1370621618	8275.0
87	1370627225	1370637142	9917.0
88	1370642816	1370650083	7267.0
89	1370655948	1370656556	608.0
90	1370656687	1370666127	9440.0
91	1370674418	1370697380	22962.0
92	1370726735	1370731347	4612.0
93	1370731456	1370732482	1026.0
94	1370758509	1370763687	5178.0
95	1370768923	1370772948	4025.0
96	1370777973	1370799721	21748.0
97	1370805947	1370813537	7590.0
98	1370820170	1370821881	1711.0
99	1370829633	1370830763	1130.0
100	1370844797	1370846643	1846.0
101	1370846775	1370851447	4672.0
102	1370856601	1370872383	15782.0
103	1370876670	1370882107	5437.0
104	1370884969	1370888285	3316.0
105	1370888307	1370888352	45.0
106	1370904074	1370906046	1972.0
107	1370915048	1370941661	26613.0
108	1370948691	1370951317	2626.0
109	1370955563	1370966931	11368.0
110	1370969102	1370969663	561.0
111	1370993335	1370993675	340.0
112	1370998664	1371008205	9541.0
113	1371013187	1371014581	1394.0
114	1371017689	1371028276	10587.0
115	1371033559	1371039832	6273.0
116	1371047435	1371055150	7715.0
117	1371058600	1371064179	5579.0
118	1371075027	1371078382	3355.0
119	1371088160	1371095424	7264.0
120	1371099179	1371104696	5517.0
121	1371111090	1371130148	19058.0
122	1371135172	1371136901	1729.0
123	1371145915	1371155685	9770.0
124	1371174393	1371179161	4768.0
125	1371179831	1371192153	12322.0
126	1371197859	1371200877	3018.0
127	1371206449	1371213012	6563.0
128	1371219872	1371220233	361.0
129	1371235280	1371239274	3994.0
130	1371239640	1371239877	237.0
131	1371242388	1371243775	1387.0
132	1371251718	1371269363	17645.0
133	1371269519	1371271519	2000.0
134	1371274409	1371276583	2174.0
135	1371280342	1371280924	582.0
136	1371291914	1371303215	11301.0
137	1371348585	1371380425	31840.0
138	1371380537	1371381771	1234.0
139	1371385787	1371388719	2932.0
140	1371392112	1371395175	3063.0
141	1371425676	1371430111	4435.0
142	1371433312	1371441079	7767.0
143	1371445497	1371469654	24157.0
144	1371474513	1371477245	2732.0
145	1371477714	1371480535	2821.0
146	1371483178	1371489324	6146.0
147	1371504312	1371509063	4751.0
148	1371511876	1371516584	4708.0
149	1371520929	1371541884	20955.0
150	1371563918	1371581630	17712.0
151	1371581663	1371582528	865.0
152	1371587822	1371591458	3636.0
153	1371598235	1371673414	75179.0
154	1371679533	1371683736	4203.0
155	1371700173	1371714137	13964.0
156	1371727468	1371766052	38584.0
157	1371769102	1371785495	16393.0
158	1371789583	1371815313	25730.0
159	1371820056	1371831242	11186.0
160	1371836862	1371847232	10370.0
161	1371864233	1371902417	38184.0
162	1371902748	1371908858	6110.0
163	1371935776	1371936280	504.0
164	1371936990	1371940643	3653.0
165	1371941080	1371951181	10101.0
166	1371961796	1371971514	9718.0
167	1371971600	1372008345	36745.0
168	1372011083	1372014091	3008.0
169	1372028451	1372033204	4753.0
170	1372034081	1372038980	4899.0
171	1372041937	1372043115	1178.0
172	1372045393	1372086714	41321.0
173	1372125173	1372126856	1683.0
174	1372126896	1372130640	3744.0
175	1372130670	1372171920	41250.0
176	1372177835	1372186186	8351.0
177	1372198888	1372231778	32890.0
178	1372240517	1372249329	8812.0
179	1372252640	1372260528	7888.0
180	1372289525	1372304314	14789.0
181	1372314618	1372328560	13942.0
182	1372348882	1372374390	25508.0
183	1372384690	1372384721	31.0
184	1372394270	1372421999	27729.0
185	1372425326	1372438563	13237.0
186	1372445425	1372456109	10684.0
187	1372465238	1372478537	13299.0
188	1372487854	1372493529	5675.0
189	1372503048	1372527117	24069.0
190	1372527251	1372528498	1247.0
191	1372537436	1372544543	7107.0
192	1372549784	1372564553	14769.0
193	1372570113	1372618858	48745.0
194	1372633378	1372654214	20836.0
195	1372658052	1372692150	34098.0
196	1372692271	1372723478	31207.0
197	1372723874	1372737705	13831.0
198	1372746299	1372797738	51439.0
199	1372797773	1372798857	1084.0
200	1372811832	1372912494	100662.0
201	1372912651	1372924077	11426.0
202	1372924158	1372942871	18713.0
